Date,Calories,Distance,Low_latitude,Low_longitude,High_latitude,High_longitude,Average_speed,Max_speed,Min_speed,Step_count,Average_weight,Max_weight,Min_weight,Move ,Heart_point,Heart_minutes,Biking_duration,Inactive_duration,Walking_duration,Running_duration
01-14-20,2049.472023,11826.09624,12.9839331,80.2165155,12.9925776,80.2362318,0.521501585,4.818989754,0.034752015,7824,,,,178,75,75,4865960,68130168,4136442,61266
01-15-20,1852.745324,5779.153729,12.9812061,80.2334292,12.987127,80.2431818,0.517211531,4.057528019,0.003755891,4827,,,,123,55,55,3492055,75380177,2141686,
01-16-20,1885.466865,6121.686285,12.9838959,80.2277782,12.9916832,80.2405275,0.665871893,6.514735699,0.052109018,6295,,,,133,43,43,2869362,76085734,3260321,
01-17-20,1780.97827,3681.167882,12.9841218,80.2294994,12.9888145,80.2360188,0.485381557,2.035098791,0.166495308,3791,,,,89,38,38,2472709,78787357,1917073,
01-18-20,1837.373654,3143.067811,12.9840425,80.2340484,12.9907081,80.236047,0.402915111,1.915925622,0.031777408,3621,,,,103,50,50,3190118,77880374,2149269,14299
01-19-20,1705.540307,3235.148838,12.9844631,80.2350369,12.9844631,80.2350369,0.664312602,2.979116678,0.234122038,4728,,,,78,7,7,475502,78178003,2661085,
01-20-20,1856.70503,3083.32435,12.9838901,80.2302815,12.9907729,80.2359199,0.46052747,4.48723793,0.141528115,3677,,,,100,42,42,2793360,77112035,2961659,
01-21-20,1984.758073,5438.13296,12.984045,80.2270894,12.9918908,80.2359432,0.583220203,4.136726379,0.015318068,2875,,,,120,83,83,5298106,77336662,2628658,
01-22-20,1981.324858,5172.333874,12.9832774,80.2269697,12.9918725,80.2391206,0.475686011,5.506165981,0.25502941,5921,,,,137,64,64,4290996,74133062,3643092,
01-23-20,1926.990034,3441.752128,12.9869299,80.2294191,12.9918389,80.2374892,0.48176671,1.453119159,0.110802725,4662,,,,128,60,60,3892555,76486314,3073699,
01-24-20,1855.19344,3304.068471,12.9843518,80.2270191,12.9919834,80.2360604,0.419357611,2.203026295,0,3700,,,,113,64,64,4053315,78812855,1586147,
01-25-20,1833.236019,5118.523395,12.984011,80.234477,12.9870636,80.2359458,0.646689785,2.550305367,0.001489468,5983,,,,102,34,31,1594666,78849691,3757938,
01-26-20,1725.006906,3858.277462,12.984029,80.2338717,12.9874143,80.2374564,0.50564063,2.716209888,0.242697969,4925,,,,71,11,11,521488,79119605,2978755,
01-27-20,1905.566471,7126.329347,12.9837469,80.2270021,12.9919535,80.2359485,0.532215375,10.62268353,0.077632554,5091,,,,127,54,54,3435954,75729138,3169580,
01-28-20,1788.290877,2572.026232,12.9844825,80.2350763,12.9870465,80.2359458,0.492875409,1.441126585,0.265655637,3185,,,,80,37,37,2508452,80085063,2012833,
